# Env Var Inventory (non-test source)
# Generated: 2026-02-23T06:57:59Z
# Columns: env_var	reference_count	unique_file_count	files
XRPL_SECRET_NUMBERS_MAINNET	2	2	src/config/index.ts,src/xrpl/wallet.ts
XRPL_SECRET_NUMBERS_MAINNET_ENC	1	1	src/xrpl/wallet.ts
XRPL_SECRET_NUMBERS_TESTNET	2	2	scripts/fundExistingRlusdTestnet.ts,src/config/index.ts
XRPL_SECRET_PASSPHRASE	3	2	src/xrpl/wallet.ts,src/ui/pages/api/bot/wallet.ts
XRPL_SECRET_TESTNET	1	1	src/config/index.ts
XRPL_SEED	4	3	src/config/index.ts,src/xrpl/wallet.ts,src/xrpl/signer.ts
XRPL_SEED_MAINNET	2	2	src/config/index.ts,src/xrpl/wallet.ts
XRPL_SEED_MAINNET_ENC	1	1	src/xrpl/wallet.ts
XRPL_SEED_TESTNET	2	2	scripts/fundExistingRlusdTestnet.ts,src/config/index.ts
XRPL_WSS_URL	3	3	src/config/index.ts,src/xrpl/client.ts,src/xrpl/sharedClient.ts
XRPL_WSS_URLS	1	1	src/xrpl/sharedClient.ts
